,clusters
2061,5
2062,6
2063,4
2064,9
2065,3
2066,6
2067,2
2068,9
2069,9
2070,4
2071,2
2072,4
2073,6
2074,3
2075,8
2076,4
2077,4
2078,10
2079,3
2080,3
2081,3
2082,4
2083,7
2084,5
2085,3
2086,3
2087,3
2088,3
2089,3
2090,3
2091,3
2092,3
2093,3
2094,3
2095,3
2096,3
2097,3
2098,4
2099,4
2100,4
2101,9
2102,3
2103,3
2104,3
2105,3
2106,3
2107,3
2108,3
2109,3
2110,3
2111,3
2112,4
2113,3
2114,6
2115,4
2116,8
2117,9
2118,4
2119,4
2120,4
2121,5
2122,7
2123,7
2124,6
2125,10
2126,3
2127,4
2128,11
2129,6
2130,3
2131,4
2132,7
2133,7
2134,3
2135,3
2136,10
2137,6
2138,6
2139,1
2140,1
2141,1
2142,1
2143,1
2144,4
2145,8
2146,4
2147,3
2148,3
2149,2
2150,10
2151,2
2152,4
2153,4
2154,3
2155,4
2156,6
2157,8
2158,8
2159,4
2160,4
2161,4
2162,1
2163,1
2164,1
2165,1
2166,4
2167,6
2168,4
2169,4
2170,9
2171,6
2172,4
2173,4
2174,7
2175,11
2176,10
2177,7
2178,4
2179,4
2180,3
2181,1
2182,10
2183,4
2184,6
2185,4
2186,3
2187,3
2188,3
2189,3
2190,10
2191,3
2192,4
2193,8
2194,7
2195,10
2196,2
2197,4
2198,10
2199,4
2200,6
2201,6
2202,3
2203,3
2204,11
2205,10
2206,7
2207,7
2208,7
2209,7
2210,7
2211,8
2212,11
2213,4
2214,7
2215,12
2216,2
2217,3
2218,7
2219,4
2220,7
2221,6
2222,6
2223,10
2224,7
2225,6
2226,10
2227,10
2228,8
2229,7
2230,6
2231,3
2232,3
2233,3
2234,3
2235,3
2236,3
2237,3
2238,3
2239,3
2240,3
2241,3
2242,3
2243,3
2244,3
2245,6
2246,9
2247,6
2248,6
2249,4
2250,3
2251,3
2252,3
2253,3
2254,9
2255,7
2256,0
2257,3
2258,11
2259,4
2260,10
2261,8
2262,3
2263,3
2264,3
2265,3
2266,3
2267,3
2268,4
2269,4
2270,5
2271,8
2272,8
2273,8
2274,8
2275,8
2276,4
2277,4
2278,10
2279,4
2280,10
2281,7
2282,7
2283,0
2284,9
2285,4
2286,4
2287,12
2288,10
2289,3
2290,3
2291,3
2292,7
2293,11
2294,11
2295,9
2296,7
2297,3
2298,3
2299,3
2300,0
2301,8
2302,9
2303,7
2304,0
2305,3
2306,3
2307,3
2308,4
2309,7
2310,6
2311,4
2312,7
2313,5
2314,5
2315,5
2316,5
2317,5
2318,5
2319,5
2320,3
2321,7
2322,3
2323,3
2324,4
2325,3
2326,3
2327,3
2328,9
2329,2
2330,6
2331,5
2332,5
2333,5
2334,5
2335,5
2336,5
2337,5
2338,3
2339,7
2340,6
2341,4
2342,6
2343,6
2344,9
2345,7
2346,10
2347,6
2348,3
2349,12
2350,2
2351,6
2352,10
2353,10
2354,7
2355,4
2356,9
2357,11
2358,3
2359,1
2360,1
2361,1
2362,1
2363,1
2364,10
2365,12
2366,12
2367,2
2368,4
2369,3
2370,12
2371,4
2372,4
2373,4
2374,4
2375,4
2376,3
2377,3
2378,3
2379,3
2380,3
2381,4
2382,3
2383,3
2384,3
2385,3
2386,3
2387,3
2388,3
2389,3
2390,3
2391,3
2392,3
2393,8
2394,8
2395,3
2396,3
2397,3
2398,3
2399,8
2400,9
2401,4
2402,9
2403,7
2404,9
2405,5
2406,6
2407,5
2408,12
2409,6
2410,6
2411,12
2412,3
2413,4
2414,5
2415,10
2416,3
2417,10
2418,12
2419,10
2420,12
2421,12
2422,12
2423,10
2424,4
2425,7
2426,4
2427,4
2428,12
2429,9
2430,4
2431,4
2432,10
2433,2
2434,0
2435,7
2436,10
2437,6
2438,0
2439,7
2440,6
2441,12
2442,6
2443,12
2444,3
2445,9
2446,10
2447,4
2448,6
2449,6
2450,7
2451,12
2452,3
2453,3
2454,3
2455,3
2456,3
2457,3
2458,7
2459,10
2460,4
2461,8
2462,3
2463,3
2464,3
2465,3
2466,10
2467,12
2468,10
2469,7
2470,6
2471,7
2472,4
2473,11
2474,6
2475,4
2476,3
2477,12
2478,4
2479,3
2480,3
2481,4
2482,4
2483,4
2484,4
2485,4
2486,4
2487,4
2488,5
2489,4
2490,4
2491,4
2492,6
2493,3
2494,8
2495,8
2496,8
2497,4
2498,4
2499,4
2500,4
2501,4
2502,1
2503,1
2504,1
2505,1
2506,1
2507,1
2508,1
2509,1
2510,1
2511,1
2512,6
2513,3
2514,7
2515,4
2516,4
2517,4
2518,4
2519,4
2520,4
2521,6
2522,8
2523,1
2524,1
2525,1
2526,10
2527,8
2528,5
2529,4
2530,9
2531,6
2532,4
2533,9
2534,3
2535,11
2536,4
2537,4
2538,4
2539,4
2540,4
2541,4
2542,6
2543,8
2544,1
2545,1
2546,1
2547,10
2548,8
2549,5
2550,3
2551,3
2552,3
2553,12
2554,12
2555,9
2556,2
2557,3
2558,3
2559,3
2560,3
2561,10
2562,3
2563,3
2564,3
2565,3
2566,3
2567,3
2568,3
2569,3
2570,9
2571,12
2572,10
2573,3
2574,3
2575,2
2576,4
2577,2
2578,6
2579,3
2580,4
2581,6
2582,2
2583,11
2584,8
2585,4
2586,8
2587,2
2588,4
2589,7
2590,10
2591,7
2592,7
2593,3
2594,12
2595,8
2596,4
2597,4
2598,5
2599,8
2600,7
2601,6
2602,5
2603,5
2604,4
2605,4
2606,5
2607,5
2608,5
2609,5
2610,5
2611,5
2612,5
2613,6
2614,8
2615,8
2616,1
2617,1
2618,4
2619,2
2620,12
2621,10
2622,7
2623,6
2624,7
2625,6
2626,12
2627,7
2628,1
2629,1
2630,1
2631,1
2632,5
2633,4
2634,4
2635,3
2636,3
2637,3
2638,3
2639,3
2640,3
2641,3
2642,3
2643,3
2644,3
2645,5
2646,5
2647,5
2648,10
2649,4
2650,3
2651,3
2652,3
2653,3
2654,3
2655,3
2656,5
2657,5
2658,5
2659,10
2660,4
2661,3
2662,3
2663,3
2664,3
2665,3
2666,3
2667,5
2668,8
2669,8
2670,8
2671,4
2672,8
2673,6
2674,10
2675,7
2676,6
2677,7
2678,10
2679,10
2680,3
2681,10
2682,4
2683,4
2684,0
2685,8
2686,2
2687,10
2688,6
2689,4
2690,6
2691,7
2692,10
2693,4
2694,8
2695,4
2696,6
2697,7
2698,4
2699,4
2700,8
2701,4
2702,11
2703,11
2704,10
2705,9
2706,4
2707,7
2708,6
2709,6
2710,1
2711,1
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,7
2719,9
2720,7
2721,8
2722,1
2723,1
2724,7
2725,1
2726,1
2727,1
2728,1
2729,1
2730,1
2731,1
2732,1
2733,1
2734,7
2735,4
2736,4
2737,4
2738,3
2739,4
2740,8
2741,8
2742,8
2743,6
2744,7
2745,3
2746,3
2747,3
2748,3
2749,3
2750,3
2751,7
2752,8
2753,8
2754,1
2755,6
2756,3
2757,6
2758,12
2759,10
2760,9
2761,12
2762,7
2763,6
2764,6
2765,3
2766,9
2767,7
2768,8
2769,4
2770,5
2771,5
2772,5
2773,3
2774,3
2775,3
2776,3
2777,3
2778,3
2779,3
2780,3
2781,3
2782,3
2783,8
2784,8
2785,8
2786,4
2787,4
2788,4
2789,2
2790,6
2791,4
2792,10
2793,3
2794,3
2795,2
2796,10
2797,9
2798,10
2799,8
2800,5
2801,8
2802,6
2803,3
2804,3
2805,6
2806,7
2807,3
2808,3
2809,7
2810,9
2811,6
2812,6
2813,6
2814,6
2815,7
2816,5
2817,5
2818,3
2819,3
2820,7
2821,6
2822,10
2823,12
2824,4
2825,5
2826,3
2827,3
2828,6
2829,6
2830,1
2831,1
2832,1
2833,1
2834,1
2835,1
2836,1
2837,1
2838,1
2839,3
2840,9
2841,3
2842,3
2843,3
2844,3
2845,7
2846,8
2847,6
2848,7
2849,12
2850,12
2851,8
2852,8
2853,4
2854,7
2855,6
2856,10
2857,5
2858,4
